Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female Bench Only Classic Youth (14 – 18 years) 44KG",1,48,14,18,F,0,35,0,0,1,,4,4
"Female Bench Only Classic Youth (14 – 18 years) 48KG",1,48,14,18,F,0,40,0,0,1,[84],4,4
"Female Bench Only Classic Youth (14 – 18 years) 53KG",48,53,14,18,F,0,45,0,0,1,[94],4,4
"Female Bench Only Classic Youth (14 – 18 years) 58KG",53,58,14,18,F,0,50,0,0,1,[104],4,4
"Female Bench Only Classic Youth (14 – 18 years) 64KG",58,64,14,18,F,0,55,0,0,1,[114],4,4
"Female Bench Only Classic Youth (14 – 18 years) 72KG",64,72,14,18,F,0,60,0,0,1,[124],4,4
"Female Bench Only Classic Youth (14 – 18 years) 84KG",72,84,14,18,F,0,65,0,0,1,[134],4,4
"Female Bench Only Classic Youth (14 – 18 years) 84+KG",84,500,14,18,F,0,70,0,0,1,,4,4
"Female Bench Only Classic Junior (19 – 23 years) 48KG",1,48,19,23,F,0,50,0,0,1,[164],4,4
"Female Bench Only Classic Junior (19 – 23 years) 53KG",48,53,19,23,F,0,55,0,0,1,[174],4,4
"Female Bench Only Classic Junior (19 – 23 years) 58KG",53,58,19,23,F,0,60,0,0,1,[184],4,4
"Female Bench Only Classic Junior (19 – 23 years) 64KG",58,64,19,23,F,0,65,0,0,1,[44],4,4
"Female Bench Only Classic Junior (19 – 23 years) 72KG",64,72,19,23,F,0,70,0,0,1,[54],4,4
"Female Bench Only Classic Junior (19 – 23 years) 84KG",72,84,19,23,F,0,75,0,0,1,[214],4,4
"Female Bench Only Classic Junior (19 – 23 years) 100KG",84,100,19,23,F,0,80,0,0,1,[224],4,4
"Female Bench Only Classic Junior (19 – 23 years) 100+KG",100,500,19,23,F,0,85,0,0,1,[234],4,4
"Female Bench Only Classic Open (24 – 39 years) 48KG",1,48,24,39,F,0,55,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 53KG",48,53,24,39,F,0,60,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 58KG",53,58,24,39,F,0,70,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 64KG",58,64,24,39,F,0,80,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 72KG",64,72,24,39,F,0,90,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 84KG",72,84,24,39,F,0,100,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 100KG",84,100,24,39,F,0,105,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 100+KG",100,500,24,39,F,0,110,0,0,1,,4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 48KG",1,48,40,44,F,0,50,0,0,1,[164],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 53KG",48,53,40,44,F,0,55,0,0,1,[174],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 58KG",53,58,40,44,F,0,60,0,0,1,[184],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 64KG",58,64,40,44,F,0,65,0,0,1,[194],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 72KG",64,72,40,44,F,0,70,0,0,1,[204],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 84KG",72,84,40,44,F,0,75,0,0,1,[214],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 100KG",84,100,40,44,F,0,80,0,0,1,[224],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 100+KG",100,500,40,44,F,0,85,0,0,1,[234],4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 48KG",1,48,45,49,F,0,45,0,0,1,"[164,244]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 53KG",48,53,45,49,F,0,50,0,0,1,"[174,254]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 58KG",53,58,45,49,F,0,55,0,0,1,"[184,264]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 64KG",58,64,45,49,F,0,60,0,0,1,"[194,274]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 72KG",64,72,45,49,F,0,65,0,0,1,"[204,284]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 84KG",72,84,45,49,F,0,70,0,0,1,"[214,294]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 100KG",84,100,45,49,F,0,75,0,0,1,"[224,304]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 100+KG",100,500,45,49,F,0,80,0,0,1,"[234,314]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 48KG",1,48,50,54,F,0,42,0,0,1,"[164,244,324]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 53KG",48,53,50,54,F,0,47,0,0,1,"[174,254,334]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 58KG",53,58,50,54,F,0,52,0,0,1,"[184,264,344]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 64KG",58,64,50,54,F,0,57,0,0,1,"[194,274,354]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 72KG",64,72,50,54,F,0,62,0,0,1,"[204,284,364]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 84KG",72,84,50,54,F,0,67,0,0,1,"[214,294,374]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 100KG",84,100,50,54,F,0,72,0,0,1,"[224,304,384]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 100+KG",100,500,50,54,F,0,77,0,0,1,"[234,314,394]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 48KG",1,48,55,59,F,0,37,0,0,1,"[164,244,324,404]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 53KG",48,53,55,59,F,0,42,0,0,1,"[174,254,334,414]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 58KG",53,58,55,59,F,0,47,0,0,1,"[184,264,344,434]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 64KG",58,64,55,59,F,0,52,0,0,1,"[194,274,354,434]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 72KG",64,72,55,59,F,0,57,0,0,1,"[204,284,364,444]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 84KG",72,84,55,59,F,0,62,0,0,1,"[214,294,374,454]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 100KG",84,100,55,59,F,0,67,0,0,1,"[224,304,384,464]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 100+KG",100,500,55,59,F,0,72,0,0,1,"[234,314,394,474]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 48KG",1,48,60,64,F,0,32,0,0,1,"[164,244,324,404,484]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 53KG",48,53,60,64,F,0,37,0,0,1,"[174,254,334,414,494]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 58KG",53,58,60,64,F,0,42,0,0,1,"[184,264,344,434,504]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 64KG",58,64,60,64,F,0,47,0,0,1,"[194,274,354,434,514]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 72KG",64,72,60,64,F,0,52,0,0,1,"[204,284,364,444,524]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 84KG",72,84,60,64,F,0,57,0,0,1,"[214,294,374,454,534]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 100KG",84,100,60,64,F,0,62,0,0,1,"[224,304,384,464,544]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 100+KG",100,500,60,64,F,0,67,0,0,1,"[234,314,394,474,554]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 48KG",1,48,65,69,F,0,28,0,0,1,"[164,244,324,404,484,564]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 53KG",48,53,65,69,F,0,32,0,0,1,"[174,254,334,414,494,574]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 58KG",53,58,65,69,F,0,37,0,0,1,"[184,264,344,434,504,584]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 64KG",58,64,65,69,F,0,40,0,0,1,"[194,274,354,434,514,594]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 72KG",64,72,65,69,F,0,45,0,0,1,"[204,284,364,444,524,604]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 84KG",72,84,65,69,F,0,50,0,0,1,"[214,294,374,454,534,614]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 100KG",84,100,65,69,F,0,52,0,0,1,"[224,304,384,464,544,624]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 100+KG",100,500,65,69,F,0,55,0,0,1,"[234,314,394,474,554,634]",4,4
"Female Bench Only Classic Masters 7 (70 – 74 years) 48KG",1,48,70,74,F,0,26,0,0,1,"[164,244,324,404,484,564,644]",4,4
"Female Bench Only Classic Masters 7 (70 – 74 years) 53KG",48,53,70,74,F,0,28,0,0,1,"[174,254,334,414,494,574,654]",4,4
"Female Bench Only Classic Masters 7 (70 – 74 years) 58KG",53,58,70,74,F,0,32,0,0,1,"[184,264,344,434,504,584,664]",4,4
"Female Bench Only Classic Masters 7 (70 – 74 years) 64KG",58,64,70,74,F,0,37,0,0,1,"[194,274,354,434,514,594,674]",4,4
"Female Bench Only Classic Masters 7 (70 – 74 years) 72KG",64,72,70,74,F,0,40,0,0,1,"[214,294,374,454,534,614,694]",4,4
"Female Bench Only Classic Masters 7 (70 – 74 years) 84KG",72,84,70,74,F,0,45,0,0,1,"[214,294,374,454,534,614,694]",4,4
"Female Bench Only Classic Masters 7 (70 – 74 years) 100KG",84,100,70,74,F,0,50,0,0,1,"[224,304,384,464,544,624,704]",4,4
"Female Bench Only Classic Masters 7 (70 – 74 years) 100+KG",100,500,70,74,F,0,55,0,0,1,"[234,314,394,474,554,634,714]",4,4
"Female Bench Only Classic Masters 8 (75 – 79 years) 48KG",1,48,75,79,F,0,24,0,0,1,"[164,244,324,404,484,564,644,724]",4,4
"Female Bench Only Classic Masters 8 (75 – 79 years) 53KG",48,53,75,79,F,0,26,0,0,1,"[174,254,334,414,494,574,654,734]",4,4
"Female Bench Only Classic Masters 8 (75 – 79 years) 58KG",53,58,75,79,F,0,28,0,0,1,"[184,264,344,434,504,584,664,744]",4,4
"Female Bench Only Classic Masters 8 (75 – 79 years) 64KG",58,64,75,79,F,0,32,0,0,1,"[194,274,354,434,514,594,674,754]",4,4
"Female Bench Only Classic Masters 8 (75 – 79 years) 72KG",64,72,75,79,F,0,37,0,0,1,"[204,284,364,444,524,604,684,764]",4,4
"Female Bench Only Classic Masters 8 (75 – 79 years) 84KG",72,84,75,79,F,0,40,0,0,1,"[214,294,374,454,534,614,694,764]",4,4
"Female Bench Only Classic Masters 8 (75 – 79 years) 100KG",84,100,75,79,F,0,43,0,1,1,"[224,304,384,464,544,624,704,784]",4,4
"Female Bench Only Classic Masters 8 (75 – 79 years) 100+KG",100,500,75,79,F,0,47,0,0,1,"[234,314,394,474,554,634,714,794]",4,4
"Female Bench Only Classic Masters 9 (80+ years) 48KG",1,48,80,200,F,0,20,0,0,1,"[164,244,324,404,484,564,644,724,804]",4,4
"Female Bench Only Classic Masters 9 (80+ years) 53KG",48,53,80,200,F,0,22,0,0,1,"[184,264,344,434,504,584,664,744,824]",4,4
"Female Bench Only Classic Masters 9 (80+ years) 58KG",53,58,80,200,F,0,26,0,0,1,"[184,264,344,424,504,584,664,744,824]",4,4
"Female Bench Only Classic Masters 9 (80+ years) 64KG",58,64,80,200,F,0,30,0,0,1,"[194,274,354,434,514,594,674,754,834]",4,4
"Female Bench Only Classic Masters 9 (80+ years) 72KG",64,72,80,200,F,0,35,0,0,1,"[204,284,364,444,524,604,684,764,844]",4,4
"Female Bench Only Classic Masters 9 (80+ years) 84KG",72,84,80,200,F,0,37,0,0,1,"[214,294,374,454,534,614,694,764,854]",4,4
"Female Bench Only Classic Masters 9 (80+ years) 100KG",84,100,80,200,F,0,40,0,1,1,"[224,304,384,464,544,624,704,784,864]",4,4
"Female Bench Only Classic Masters 9 (80+ years) 100+KG",100,500,80,200,F,0,43,0,0,1,"[234,314,394,474,554,634,714,794,874]",4,4
"Female Bench Only Equipped Youth (14 – 18 years) 48KG",1,48,14,18,F,0,40,0,0,1,[1124],4,14
"Female Bench Only Equipped Youth (14 – 18 years) 53KG",48,53,14,18,F,0,45,0,0,1,[1134],4,14
"Female Bench Only Equipped Youth (14 – 18 years) 58KG",53,58,14,18,F,0,50,0,0,1,[1144],4,14
"Female Bench Only Equipped Youth (14 – 18 years) 64KG",58,64,14,18,F,0,55,0,0,1,[1154],4,14
"Female Bench Only Equipped Youth (14 – 18 years) 72KG",64,72,14,18,F,0,60,0,0,1,[1164],4,14
"Female Bench Only Equipped Youth (14 – 18 years) 84KG",72,84,14,18,F,0,65,0,0,1,[1174],4,14
"Female Bench Only Equipped Youth (14 – 18 years) 100KG",84,100,14,18,F,0,70,0,0,1,[1184],4,14
"Female Bench Only Equipped Youth (14 – 18 years) 100+KG",100,500,14,18,F,0,80,0,0,1,[1194],4,14
"Female Bench Only Equipped Junior (19 – 23 years) 48KG",1,48,19,23,F,0,55,0,0,1,[1124],4,14
"Female Bench Only Equipped Junior (19 – 23 years) 53KG",48,53,19,23,F,0,60,0,0,1,[1134],4,14
"Female Bench Only Equipped Junior (19 – 23 years) 58KG",53,58,19,23,F,0,65,0,0,1,[1144],4,14
"Female Bench Only Equipped Junior (19 – 23 years) 64KG",58,64,19,23,F,0,70,0,0,1,[1154],4,14
"Female Bench Only Equipped Junior (19 – 23 years) 72KG",64,72,19,23,F,0,75,0,0,1,[1164],4,14
"Female Bench Only Equipped Junior (19 – 23 years) 84KG",72,84,19,23,F,0,80,0,0,1,[1174],4,14
"Female Bench Only Equipped Junior (19 – 23 years) 100KG",84,100,19,23,F,0,85,0,0,1,[1184],4,14
"Female Bench Only Equipped Junior (19 – 23 years) 100+KG",100,500,19,23,F,0,90,0,0,1,[1194],4,14
"Female Bench Only Equipped Open (24 – 39 years) 48KG",1,48,24,39,F,0,60,0,0,1,,4,14
"Female Bench Only Equipped Open (24 – 39 years) 53KG",48,53,24,39,F,0,70,0,0,1,,4,14
"Female Bench Only Equipped Open (24 – 39 years) 58KG",53,58,24,39,F,0,80,0,0,1,,4,14
"Female Bench Only Equipped Open (24 – 39 years) 64KG",58,64,24,39,F,0,90,0,0,1,,4,14
"Female Bench Only Equipped Open (24 – 39 years) 72KG",64,72,24,39,F,0,100,0,0,1,,4,14
"Female Bench Only Equipped Open (24 – 39 years) 84KG",72,84,24,39,F,0,107,0,0,1,,4,14
"Female Bench Only Equipped Open (24 – 39 years) 100KG",84,100,24,39,F,0,150,0,0,1,,4,14
"Female Bench Only Equipped Open (24 – 39 years) 100+KG",100,500,24,39,F,0,125,0,0,1,,4,14
"Female Bench Only Equipped Masters 1 (40 – 44 years) 48KG",1,48,40,44,F,0,55,0,0,1,[1124],4,14
"Female Bench Only Equipped Masters 1 (40 – 44 years) 53KG",48,53,40,44,F,0,60,0,0,1,[1134],4,14
"Female Bench Only Equipped Masters 1 (40 – 44 years) 58KG",53,58,40,44,F,0,65,0,0,1,[1144],4,14
"Female Bench Only Equipped Masters 1 (40 – 44 years) 64KG",58,64,40,44,F,0,70,0,0,1,[1154],4,14
"Female Bench Only Equipped Masters 1 (40 – 44 years) 72KG",64,72,40,44,F,0,75,0,0,1,[1164],4,14
"Female Bench Only Equipped Masters 1 (40 – 44 years) 84KG",72,84,40,44,F,0,150,0,0,1,[1174],4,14
"Female Bench Only Equipped Masters 1 (40 – 44 years) 100KG",84,100,40,44,F,0,85,0,0,1,[1184],4,14
"Female Bench Only Equipped Masters 1 (40 – 44 years) 100+KG",100,500,40,44,F,0,90,0,0,1,[1194],4,14
"Female Bench Only Equipped Masters 2 (45 – 49 years) 48KG",1,48,45,49,F,0,50,0,0,1,"[1124,1204]",4,14
"Female Bench Only Equipped Masters 2 (45 – 49 years) 53KG",48,53,45,49,F,0,55,0,0,1,"[1134,1214]",4,14
"Female Bench Only Equipped Masters 2 (45 – 49 years) 58KG",53,58,45,49,F,0,60,0,0,1,"[1144,1224]",4,14
"Female Bench Only Equipped Masters 2 (45 – 49 years) 64KG",58,64,45,49,F,0,65,0,0,1,"[1154,1234]",4,14
"Female Bench Only Equipped Masters 2 (45 – 49 years) 72KG",64,72,45,49,F,0,70,0,0,1,"[1164,1244]",4,14
"Female Bench Only Equipped Masters 2 (45 – 49 years) 84KG",72,84,45,49,F,0,150,0,0,1,"[1174,1254]",4,14
"Female Bench Only Equipped Masters 2 (45 – 49 years) 100KG",84,100,45,49,F,0,80,0,0,1,"[1184,1264]",4,14
"Female Bench Only Equipped Masters 2 (45 – 49 years) 100+KG",100,500,45,49,F,0,85,0,0,1,"[1194,1274]",4,14
"Female Bench Only Equipped Masters 3 (50 – 54 years) 48KG",1,48,50,54,F,0,47,0,0,1,"[1124,1204,1284]",4,14
"Female Bench Only Equipped Masters 3 (50 – 54 years) 53KG",48,53,50,54,F,0,52,0,0,1,"[1134,1214,1294]",4,14
"Female Bench Only Equipped Masters 3 (50 – 54 years) 58KG",53,58,50,54,F,0,57,0,0,1,"[1144,1224,1304]",4,14
"Female Bench Only Equipped Masters 3 (50 – 54 years) 64KG",58,64,50,54,F,0,62,0,0,1,"[1154,1234,1314]",4,14
"Female Bench Only Equipped Masters 3 (50 – 54 years) 72KG",64,72,50,54,F,0,67,0,0,1,"[1164,1244,1324]",4,14
"Female Bench Only Equipped Masters 3 (50 – 54 years) 84KG",72,84,50,54,F,0,72,0,0,1,"[1174,1254,1334]",4,14
"Female Bench Only Equipped Masters 3 (50 – 54 years) 100KG",84,100,50,54,F,0,77,0,0,1,"[1184,1264,1344]",4,14
"Female Bench Only Equipped Masters 3 (50 – 54 years) 100+KG",100,500,50,54,F,0,82,0,0,1,"[1194,1274,1354]",4,14
"Female Bench Only Equipped Masters 4 (55 – 59 years) 48KG",1,48,55,59,F,0,42,0,0,1,"[1124,1204,1284,1364]",4,14
"Female Bench Only Equipped Masters 4 (55 – 59 years) 53KG",48,53,55,59,F,0,47,0,0,1,"[1134,1214,1294,1374]",4,14
"Female Bench Only Equipped Masters 4 (55 – 59 years) 58KG",53,58,55,59,F,0,52,0,0,1,"[1144,1224,1304,1384]",4,14
"Female Bench Only Equipped Masters 4 (55 – 59 years) 64KG",58,64,55,59,F,0,57,0,0,1,"[1154,1234,1314,1394]",4,14
"Female Bench Only Equipped Masters 4 (55 – 59 years) 72KG",64,72,55,59,F,0,62,0,0,1,"[1164,1244,1324,1404]",4,14
"Female Bench Only Equipped Masters 4 (55 – 59 years) 84KG",72,84,55,59,F,0,67,0,0,1,"[1174,1254,1334,1414]",4,14
"Female Bench Only Equipped Masters 4 (55 – 59 years) 100KG",84,100,55,59,F,0,72,0,0,1,"[1184,1264,1344,1424]",4,14
"Female Bench Only Equipped Masters 4 (55 – 59 years) 100+KG",100,500,55,59,F,0,77,0,0,1,"[1194,1274,1354,1434]",4,14
"Female Bench Only Equipped Masters 5 (60 – 64 years) 48KG",1,48,60,64,F,0,37,0,0,1,"[1124,1204,1284,1364,1444]",4,14
"Female Bench Only Equipped Masters 5 (60 – 64 years) 53KG",48,53,60,64,F,0,42,0,0,1,"[1134,1214,1294,1374,1454]",4,14
"Female Bench Only Equipped Masters 5 (60 – 64 years) 58KG",53,58,60,64,F,0,47,0,0,1,"[1144,1224,1304,1384,1464]",4,14
"Female Bench Only Equipped Masters 5 (60 – 64 years) 64KG",58,64,60,64,F,0,52,0,0,1,"[1154,1234,1314,1394,1474]",4,14
"Female Bench Only Equipped Masters 5 (60 – 64 years) 72KG",64,72,60,64,F,0,57,0,0,1,"[1164,1244,1324,1404,1484]",4,14
"Female Bench Only Equipped Masters 5 (60 – 64 years) 84KG",72,84,60,64,F,0,62,0,0,1,"[1174,1254,1334,1414,1494]",4,14
"Female Bench Only Equipped Masters 5 (60 – 64 years) 100KG",84,100,60,64,F,0,67,0,0,1,"[1184,1264,1344,1424,1504]",4,14
"Female Bench Only Equipped Masters 5 (60 – 64 years) 100+KG",100,500,60,64,F,0,72,0,0,1,"[1194,1274,1354,1434,1514]",4,14
"Female Bench Only Equipped Masters 6 (65 – 69 years) 48KG",1,48,65,69,F,0,32,0,0,1,"[1124,1204,1284,1364,1444,1524]",4,14
"Female Bench Only Equipped Masters 6 (65 – 69 years) 53KG",48,53,65,69,F,0,37,0,0,1,"[1134,1214,1294,1374,1454,1534]",4,14
"Female Bench Only Equipped Masters 6 (65 – 69 years) 58KG",53,58,65,69,F,0,40,0,0,1,"[1144,1224,1304,1384,1464,1544]",4,14
"Female Bench Only Equipped Masters 6 (65 – 69 years) 64KG",58,64,65,69,F,0,45,0,0,1,"[1154,1234,1314,1394,1474,1554]",4,14
"Female Bench Only Equipped Masters 6 (65 – 69 years) 72KG",64,72,65,69,F,0,50,0,0,1,"[1164,1244,1324,1404,1484,1564]",4,14
"Female Bench Only Equipped Masters 6 (65 – 69 years) 84KG",72,84,65,69,F,0,52,0,0,1,"[1174,1254,1334,1414,1494,1574]",4,14
"Female Bench Only Equipped Masters 6 (65 – 69 years) 100KG",84,100,65,69,F,0,55,0,0,1,"[1184,1264,1344,1424,1504,1584]",4,14
"Female Bench Only Equipped Masters 6 (65 – 69 years) 100+KG",100,500,65,69,F,0,60,0,0,1,"[1194,1274,1354,1434,1514,1594]",4,14
"Female Bench Only Equipped Masters 7 (70 – 74 years) 48KG",1,48,70,74,F,0,28,0,0,1,"[1124,1204,1284,1364,1444,1524,1604]",4,14
"Female Bench Only Equipped Masters 7 (70 – 74 years) 53KG",48,53,70,74,F,0,32,0,0,1,"[1134,1214,1294,1374,1454,1534,1614]",4,14
"Female Bench Only Equipped Masters 7 (70 – 74 years) 58KG",53,58,70,74,F,0,37,0,0,1,"[1144,1224,1304,1384,1464,1544,1624]",4,14
"Female Bench Only Equipped Masters 7 (70 – 74 years) 64KG",58,64,70,74,F,0,40,0,0,1,"[1154,1234,1314,1394,1474,1554,1634]",4,14
"Female Bench Only Equipped Masters 7 (70 – 74 years) 72KG",64,72,70,74,F,0,45,0,0,1,"[1164,1244,1324,1404,1484,1564,1644]",4,14
"Female Bench Only Equipped Masters 7 (70 – 74 years) 84KG",72,84,70,74,F,0,50,0,0,1,"[1174,1254,1334,1414,1494,1574,1654]",4,14
"Female Bench Only Equipped Masters 7 (70 – 74 years) 100KG",84,100,70,74,F,0,52,0,0,1,"[1184,1264,1344,1424,1504,1584,1664]",4,14
"Female Bench Only Equipped Masters 7 (70 – 74 years) 100+KG",100,500,70,74,F,0,57,0,0,1,"[1194,1274,1354,1434,1514,1594,1674]",4,14
"Female Bench Only Equipped Masters 8 (75 – 79 years) 48KG",1,48,75,79,F,0,26,0,0,1,"[1124,1204,1284,1364,1444,1524,1604,1684]",4,14
"Female Bench Only Equipped Masters 8 (75 – 79 years) 53KG",48,53,75,79,F,0,28,0,0,1,"[1134,1214,1294,1374,1454,1534,1614,1694]",4,14
"Female Bench Only Equipped Masters 8 (75 – 79 years) 58KG",53,58,75,79,F,0,32,0,0,1,"[1144,1224,1304,1384,1464,1544,1624,1704]",4,14
"Female Bench Only Equipped Masters 8 (75 – 79 years) 64KG",58,64,75,79,F,0,37,0,0,1,"[1154,1234,1314,1394,1474,1554,1634,1714]",4,14
"Female Bench Only Equipped Masters 8 (75 – 79 years) 72KG",64,72,75,79,F,0,40,0,0,1,"[1164,1244,1324,1404,1484,1564,1644,1724]",4,14
"Female Bench Only Equipped Masters 8 (75 – 79 years) 84KG",72,84,75,79,F,0,43,0,0,1,"[1174,1254,1334,1414,1494,1574,1654,1734]",4,14
"Female Bench Only Equipped Masters 8 (75 – 79 years) 100KG",84,100,75,79,F,0,47,0,1,1,"[1184,1264,1344,1424,1504,1584,1664,1744]",4,14
"Female Bench Only Equipped Masters 8 (75 – 79 years) 100+KG",100,500,75,79,F,0,50,0,0,1,"[1194,1274,1354,1434,1514,1594,1674,1754]",4,14
"Female Bench Only Equipped Masters 9 (80+ years) 48KG",1,48,80,200,F,0,24,0,0,1,"[1124,1204,1284,1364,1444,1524,1604,1684,1764]",4,14
"Female Bench Only Equipped Masters 9 (80+ years) 53KG",48,53,80,200,F,0,26,0,0,1,"[1134,1214,1294,1374,1454,1534,1614,1694,1774]",4,14
"Female Bench Only Equipped Masters 9 (80+ years) 58KG",53,58,80,200,F,0,28,0,0,1,"[1144,1224,1304,1384,1464,1544,1624,1704,1784]",4,14
"Female Bench Only Equipped Masters 9 (80+ years) 64KG",58,64,80,200,F,0,32,0,0,1,"[1154,1234,1314,1394,1474,1554,1634,1714,1794]",4,14
"Female Bench Only Equipped Masters 9 (80+ years) 72KG",64,72,80,200,F,0,37,0,0,1,"[1164,1244,1324,1404,1484,1564,1644,1724,1804]",4,14
"Female Bench Only Equipped Masters 9 (80+ years) 84KG",72,84,80,200,F,0,40,0,0,1,"[1174,1254,1334,1414,1494,1574,1654,1734,1814]",4,14
"Female Bench Only Equipped Masters 9 (80+ years) 100KG",84,100,80,200,F,0,43,0,1,1,"[1184,1264,1344,1424,1504,1584,1664,1744,1824]",4,14
"Female Bench Only Equipped Masters 9 (80+ years) 100+KG",100,500,80,200,F,0,45,0,0,1,"[1194,1274,1354,1434,1514,1594,1674,1754,1834]",4,14
"Female 3-Lift Classic Youth (14 – 18 years) 44KG",1,48,14,18,F,55,35,65,160,1,,4,4
"Female 3-Lift Classic Youth (14 – 18 years) 48KG",1,48,14,18,F,65,40,70,180,1,[2084],4,4
